,Time,Open,High,Low,Close,Volume
62,2019-02-15,1627.86,1628.91,1604.5,1607.95,4343893.0
63,2019-02-14,1624.5,1637.9,1606.06,1622.65,4120524.0
64,2019-02-13,1647.0,1656.38,1637.11,1640.0,3560321.0
65,2019-02-12,1604.0,1639.39,1598.88,1638.01,4858604.0
66,2019-02-11,1600.98,1609.29,1586.0,1591.0,3317328.0
67,2019-02-08,1586.0,1588.59,1566.76,1588.22,5657457.0
68,2019-02-07,1625.0,1625.54,1592.91,1614.37,4626589.0
69,2019-02-06,1670.75,1672.26,1633.34,1640.26,3939883.0
70,2019-02-05,1643.34,1665.26,1642.5,1658.81,4453105.0
71,2019-02-04,1623.0,1649.63,1613.5,1633.31,4929187.0
72,2019-02-01,1638.88,1673.06,1622.01,1626.23,11506213.0
73,2019-01-31,1692.85,1736.41,1679.08,1718.73,10910338.0
74,2019-01-30,1623.0,1676.95,1619.68,1670.43,5783822.0
75,2019-01-29,1631.27,1632.38,1590.72,1593.88,4632782.0
76,2019-01-28,1643.59,1645.0,1614.09,1637.89,4837711.0
77,2019-01-25,1670.5,1683.48,1661.61,1670.57,4959679.0
78,2019-01-24,1641.07,1657.26,1631.78,1654.93,4089943.0
79,2019-01-23,1656.0,1657.43,1612.0,1640.02,5225212.0
80,2019-01-22,1681.0,1681.87,1610.2,1632.17,6416796.0
81,2019-01-18,1712.0,1716.2,1691.54,1696.2,6020503.0
82,2019-01-17,1680.0,1700.17,1677.5,1693.22,4208875.0
83,2019-01-16,1684.22,1705.0,1675.88,1683.78,6366864.0
84,2019-01-15,1632.0,1675.16,1626.01,1674.56,5998510.0
85,2019-01-14,1615.0,1648.2,1595.15,1617.21,6005888.0
86,2019-01-11,1640.55,1660.29,1636.22,1640.56,4686222.0
87,2019-01-10,1641.01,1663.25,1621.62,1656.22,6507693.0
88,2019-01-09,1652.98,1667.8,1641.4,1659.42,6348801.0
89,2019-01-08,1664.69,1676.61,1616.61,1656.58,8881428.0
90,2019-01-07,1602.31,1634.56,1589.18,1629.51,7993213.0
91,2019-01-04,1530.0,1594.0,1518.31,1575.39,9182575.0
92,2019-01-03,1520.01,1538.0,1497.11,1500.28,6975572.0
93,2019-01-02,1465.2,1553.36,1460.93,1539.13,7983103.0
94,2018-12-31,1510.8,1520.76,1487.0,1501.97,6954507.0
95,2018-12-28,1473.35,1513.47,1449.0,1478.02,8828950.0
96,2018-12-27,1454.2,1469.0,1390.31,1461.64,9722034.0
97,2018-12-26,1368.89,1473.16,1363.01,1470.9,10411801.0
98,2018-12-24,1346.0,1396.03,1307.0,1343.96,7219996.0
99,2018-12-21,1464.99,1480.0,1363.96,1377.45,13640320.0
